index,domain,proportion
1,gmail.com,0.1774
2,yahoo.com,0.1734
3,hotmail.com,0.1553
4,aol.com,0.032
5,hotmail.co.uk,0.0127
6,hotmail.fr,0.0124
7,msn.com,0.0109
8,yahoo.fr,0.0098
9,wanadoo.fr,0.009
10,orange.fr,0.0083
11,comcast.net,0.0076
12,yahoo.co.uk,0.0073
13,yahoo.com.br,0.0069
14,yahoo.co.in,0.006
15,live.com,0.0056
16,rediffmail.com,0.0051
17,free.fr,0.0051
18,gmx.de,0.0044
19,web.de,0.0043
20,yandex.ru,0.0042
21,ymail.com,0.0041
22,libero.it,0.0038
23,outlook.com,0.0038
24,uol.com.br,0.0034
25,bol.com.br,0.0033
26,mail.ru,0.0032
27,cox.net,0.0025
28,hotmail.it,0.0025
29,sbcglobal.net,0.0024
30,sfr.fr,0.0023
31,live.fr,0.0023
32,verizon.net,0.0022
33,live.co.uk,0.0021
34,googlemail.com,0.002
35,yahoo.es,0.002
36,ig.com.br,0.0019
37,live.nl,0.0019
38,bigpond.com,0.0018
39,terra.com.br,0.0017
40,yahoo.it,0.0017
41,neuf.fr,0.0017
42,yahoo.de,0.0016
43,alice.it,0.0016
44,rocketmail.com,0.0015
45,att.net,0.0015
46,laposte.net,0.0015
47,facebook.com,0.0015
48,bellsouth.net,0.0015
49,yahoo.in,0.0014
50,hotmail.es,0.0013
51,charter.net,0.0012
52,yahoo.ca,0.0012
53,yahoo.com.au,0.0012
54,rambler.ru,0.0012
55,hotmail.de,0.0011
56,tiscali.it,0.001
57,shaw.ca,0.001
58,yahoo.co.jp,0.001
59,sky.com,0.001
60,earthlink.net,0.0009
61,optonline.net,0.0009
62,freenet.de,0.0009
63,t-online.de,0.0009
64,aliceadsl.fr,0.0008
65,virgilio.it,0.0008
66,home.nl,0.0007
67,qq.com,0.0007
68,telenet.be,0.0007
69,me.com,0.0007
70,yahoo.com.ar,0.0007
71,tiscali.co.uk,0.0007
72,yahoo.com.mx,0.0007
73,voila.fr,0.0006
74,gmx.net,0.0006
75,mail.com,0.0006
76,planet.nl,0.0006
77,tin.it,0.0006
78,live.it,0.0006
79,ntlworld.com,0.0006
80,arcor.de,0.0006
81,yahoo.co.id,0.0006
82,frontiernet.net,0.0006
83,hetnet.nl,0.0005
84,live.com.au,0.0005
85,yahoo.com.sg,0.0005
86,zonnet.nl,0.0005
87,club-internet.fr,0.0005
88,juno.com,0.0005
89,optusnet.com.au,0.0005
90,blueyonder.co.uk,0.0005
91,bluewin.ch,0.0005
92,skynet.be,0.0005
93,sympatico.ca,0.0005
94,windstream.net,0.0005
95,mac.com,0.0005
96,centurytel.net,0.0005
97,chello.nl,0.0004
98,live.ca,0.0004
99,aim.com,0.0004
100,bigpond.net.au,0.0004
