firstnames,country,ISO numeric
Oleksandr,Ukraine,804
Viktoriya,Ukraine,804
Andriy,Ukraine,804
Oksana,Ukraine,804
Ivan,Ukraine,804
Natalia,Ukraine,804
Sergey,Ukraine,804
Lada,Ukraine,804
Mykola,Ukraine,804
Tetyana,Ukraine,804
Vladyslav,Ukraine,804
Lyubov,Ukraine,804
Roman,Ukraine,804
Iryna,Ukraine,804
Volodymyr,Ukraine,804
Olena,Ukraine,804
Pavlo,Ukraine,804
Nadiya,Ukraine,804
Dmytro,Ukraine,804
Svitlana,Ukraine,804
Oleh,Ukraine,804
Anastasiya,Ukraine,804
Yevhen,Ukraine,804
Valentyna,Ukraine,804
Vasyl,Ukraine,804
Liliya,Ukraine,804
Mykhaylo,Ukraine,804
Vitaliy,Ukraine,804
Kateryna,Ukraine,804
Ihor,Ukraine,804
Yuriy,Ukraine,804
Léa,France,250
Mathieu,France,250
Lola,France,250
Pierre,France,250
Camille,France,250
Alexandre,France,250
Anaïs,France,250
Théo,France,250
Julie,France,250
Gabriel,France,250
Louna,France,250
Raphaël,France,250
Alice,France,250
Étienne,France,250
Chloé,France,250
Baptiste,France,250
Léonie,France,250
Hugo,France,250
Émilie,France,250
Matthieu,France,250
Aurélie,France,250
Cédric,France,250
Luna,France,250
Florian,France,250
Inès,France,250
Gaspard,France,250
Océane,France,250
Timothée,France,250
Laurie,France,250
Sébastien,France,250
Clémentine,France,250
Valentin,France,250
Élodie,France,250
Augustin,France,250
Anaëlle,France,250
Romain,France,250
Lylia,France,250
Gaël,France,250
Émilien,France,250
Céline,France,250
Bénédicte,France,250
Adèle,France,250
Juan,Spain,724
Cristina,Spain,724
Javier,Spain,724
Julia,Spain,724
Isabel,Spain,724
Alejandro,Spain,724
Sofia,Spain,724
Luis,Spain,724
Ana,Spain,724
Pablo,Spain,724
Maria,Spain,724
Carlos,Spain,724
Elena,Spain,724
Fernando,Spain,724
Laura,Spain,724
Rafael,Spain,724
Sandra,Spain,724
Manuel,Spain,724
Nuria,Spain,724
Ignacio,Spain,724
Carmen,Spain,724
Enrique,Spain,724
