lastnames,country,ISO numeric
Kovalenko,Ukraine,804
Shevchenko,Ukraine,804
Kuznetsov,Ukraine,804
Melnyk,Ukraine,804
Ivanenko,Ukraine,804
Kovalchuk,Ukraine,804
Lysenko,Ukraine,804
Chernenko,Ukraine,804
Bondarenko,Ukraine,804
Romanenko,Ukraine,804
Kostenko,Ukraine,804
Sokolov,Ukraine,804
Kuzmenko,Ukraine,804
Vasilenko,Ukraine,804
Pavlenko,Ukraine,804
Krylov,Ukraine,804
Shcherbak,Ukraine,804
Koval,Ukraine,804
Kuzmin,Ukraine,804
Semenenko,Ukraine,804
Lukyanenko,Ukraine,804
Kucher,Ukraine,804
Kuznetsova,Ukraine,804
Romanova,Ukraine,804
Garcia,Spain,724
Martinez,Spain,724
Rodriguez,Spain,724
Lopez,Spain,724
Gomez,Spain,724
Hernandez,Spain,724
Gonzalez,Spain,724
Sanchez,Spain,724
Perez,Spain,724
Martin,Spain,724
Jimenez,Spain,724
Diaz,Spain,724
Moreno,Spain,724
Alonso,Spain,724
Romero,Spain,724
Torres,Spain,724
Ortega,Spain,724
Molina,Spain,724
Fernandez,Spain,724
Santos,Spain,724
Cabrera,Spain,724
Vazquez,Spain,724
Leon,Spain,724
Ramos,Spain,724
Flores,Spain,724
Cruz,Spain,724
Silva,Spain,724
Nunez,Spain,724
Castillo,Spain,724
Medina,Spain,724
Aguilar,Spain,724
Vega,Spain,724
Rojas,Spain,724
Soto,Spain,724
Mendez,Spain,724
Luna,Spain,724
Quintana,Spain,724
Reyes,Spain,724
Cortes,Spain,724
Bernal,Spain,724
Guerrero,Spain,724
Pacheco,Spain,724
Andersson,Sweden,752
Johansson,Sweden,752
Lundberg,Sweden,752
Svensson,Sweden,752
Pettersson,Sweden,752
Nilsson,Sweden,752
Larsson,Sweden,752
Hansson,Sweden,752
Gustafsson,Sweden,752
Olsson,Sweden,752
Carlsson,Sweden,752
Eriksson,Sweden,752
Jansson,Sweden,752
Persson,Sweden,752
Berglund,Sweden,752
Fransson,Sweden,752
Lindström,Sweden,752
Wahlberg,Sweden,752
Sandberg,Sweden,752
Nordström,Sweden,752
Lundqvist,Sweden,752
Sjöberg,Sweden,752
André,Sweden,752
Holmberg,Sweden,752
Forsberg,Sweden,752
Månsson,Sweden,752
Bengtsson,Sweden,752
Löfgren,Sweden,752
Hedlund,Sweden,752
Jonsson,Sweden,752
Åkerman,Sweden,752
Strandberg,Sweden,752
Lindqvist,Sweden,752
Nyberg,Sweden,752
Sundström,Sweden,752
Haglund,Sweden,752
Lundin,Sweden,752
Börjesson,Sweden,752
Westerberg,Sweden,752
Lindahl,Sweden,752
Nygren,Sweden,752
Müller,Germany,276
Schmidt,Germany,276
Hoffmann,Germany,276
Klein,Germany,276
Fischer,Germany,276
Wagner,Germany,276
Schneider,Germany,276
Becker,Germany,276
Bauer,Germany,276
Richter,Germany,276
Kraus,Germany,276
Schulz,Germany,276
Koch,Germany,276
Lang,Germany,276
Maier,Germany,276
Schwarz,Germany,276
Kaiser,Germany,276
König,Germany,276
Gruber,Germany,276
Huber,Germany,276
Stein,Germany,276
Roth,Germany,276
Kuhn,Germany,276
Kraft,Germany,276
Fuchs,Germany,276
Schmid,Germany,276
Lehmann,Germany,276
Köhler,Germany,276
Kreuzer,Germany,276
Schäfer,Germany,276
Riemann,Germany,276
Kunz,Germany,276
Scholz,Germany,276
Körner,Germany,276
Krug,Germany,276
Schreiber,Germany,276
Kuhlmann,Germany,276
Schulze,Germany,276
Kunkel,Germany,276
Schwartz,Germany,276
Krauss,Germany,276
Schmitz,Germany,276
Heinonen,Finland,246
Virtanen,Finland,246
Korhonen,Finland,246
Mäkinen,Finland,246
Lahtinen,Finland,246
Lehtonen,Finland,246
Järvinen,Finland,246
Koskinen,Finland,246
Räsänen,Finland,246
Salonen,Finland,246
Turunen,Finland,246
Pitkänen,Finland,246
Hämäläinen,Finland,246
Laitinen,Finland,246
Salmela,Finland,246
Niemi,Finland,246
Kujala,Finland,246
Pääkkönen,Finland,246
Rantanen,Finland,246
Määttä,Finland,246
Laine,Finland,246
Kinnunen,Finland,246
Savolainen,Finland,246
Pajunen,Finland,246
Hakala,Finland,246
Kärkkäinen,Finland,246
Rautio,Finland,246
Mikkonen,Finland,246
Lindholm,Finland,246
Kuusisto,Finland,246
Sihvonen,Finland,246
Pohjonen,Finland,246
Hietanen,Finland,246
Kallio,Finland,246
Mäkelä,Finland,246
Lampinen,Finland,246
Koski,Finland,246
Salmi,Finland,246
Niininen,Finland,246
Kujanpää,Finland,246
Rantala,Finland,246
Hansen,Norway,578
Johansen,Norway,578
Andersen,Norway,578
Pedersen,Norway,578
Nilsen,Norway,578
Olsen,Norway,578
Larsen,Norway,578
Jensen,Norway,578
Kristiansen,Norway,578
Sørensen,Norway,578
Rasmussen,Norway,578
Madsen,Norway,578
Nielsen,Norway,578
Petersen,Norway,578
Eriksen,Norway,578
Thorsen,Norway,578
Bakken,Norway,578
Dahl,Norway,578
Eikeland,Norway,578
Fosse,Norway,578
Gundersen,Norway,578
Haugen,Norway,578
Haugland,Norway,578
Hestnes,Norway,578
Holm,Norway,578
Hovland,Norway,578
Høyland,Norway,578
Jacobsen,Norway,578
Jørgensen,Norway,578
Knudsen,Norway,578
Kvamme,Norway,578
Larsgaard,Norway,578
Løvland,Norway,578
Mikkelsen,Norway,578
Nordberg,Norway,578
Nygård,Norway,578
Odegård,Norway,578
Paulsen,Norway,578
Røed,Norway,578
Røstad,Norway,578
Sandvik,Norway,578
Skaar,Norway,578
Skogen,Norway,578
Skoglund,Norway,578
Søiland,Norway,578
Solberg,Norway,578
Stenberg,Norway,578
Strand,Norway,578
Sundal,Norway,578
Svendsen,Norway,578
Sørum,Norway,578
Tangen,Norway,578
Thesen,Norway,578
Tønnessen,Norway,578
Torsvik,Norway,578
Ueland,Norway,578
Vangen,Norway,578
Vestad,Norway,578
Vold,Norway,578
Ødegård,Norway,578
Østensen,Norway,578
Kowalski,Poland,616
Wiśniewski,Poland,616
Dąbrowski,Poland,616
Kozłowski,Poland,616
Jankowski,Poland,616
Wójcik,Poland,616
Kamiński,Poland,616
Szymański,Poland,616
Zieliński,Poland,616
Mazurek,Poland,616
Kowalczyk,Poland,616
Pawlak,Poland,616
Czajkowski,Poland,616
Bąk,Poland,616
Rutkowski,Poland,616
Krupa,Poland,616
Górski,Poland,616
Sokołowski,Poland,616
Kaczmarek,Poland,616
Lisowski,Poland,616
Makowski,Poland,616
Kubiak,Poland,616
Nowak,Poland,616
Piotrowski,Poland,616
Włodarczyk,Poland,616
Kwieciński,Poland,616
Borkowski,Poland,616
Kowalewski,Poland,616
