firstname,lastname,sex,country,name,ISO alpha 2,ISO alpha 3
Oleh,Kovalenko,Male,Ukraine,Ukraine,UA,UKR
Andriy,Kuznetsov,Male,Ukraine,Ukraine,UA,UKR
Svitlana,Petrova,Female,Ukraine,Ukraine,UA,UKR
Dmytro,Borysenko,Male,Ukraine,Ukraine,UA,UKR
Oksana,Korolenko,Female,Ukraine,Ukraine,UA,UKR
Vitaliy,Lysenko,Male,Ukraine,Ukraine,UA,UKR
Natalia,Semenova,Female,Ukraine,Ukraine,UA,UKR
Mykola,Kovalchuk,Male,Ukraine,Ukraine,UA,UKR
Yuliya,Kuznetsova,Female,Ukraine,Ukraine,UA,UKR
Roman,Pavlenko,Male,Ukraine,Ukraine,UA,UKR
Pierre,Dupont,Male,France,France,FR,FRA
Léon,Martin,Male,France,France,FR,FRA
Sophie,Lefebvre,Female,France,France,FR,FRA
Antoine,Garcia,Male,France,France,FR,FRA
Marie,Roux,Female,France,France,FR,FRA
Théo,Bourgeois,Male,France,France,FR,FRA
Camille,Dujardin,Female,France,France,FR,FRA
Mathieu,Lacoste,Male,France,France,FR,FRA
Aurélie,Moreau,Female,France,France,FR,FRA
Lucas,Fournier,Male,France,France,FR,FRA
Juan,Garcia,Male,Spain,Spain,ES,ESP
Luis,Martinez,Male,Spain,Spain,ES,ESP
Maria,Rodriguez,Female,Spain,Spain,ES,ESP
Carlos,Perez,Male,Spain,Spain,ES,ESP
Sofia,Gonzalez,Female,Spain,Spain,ES,ESP
David,Hernandez,Male,Spain,Spain,ES,ESP
Laura,Fernandez,Female,Spain,Spain,ES,ESP
Jorge,Lopez,Male,Spain,Spain,ES,ESP
Ana,Sanchez,Female,Spain,Spain,ES,ESP
Antonio,Gomez,Male,Spain,Spain,ES,ESP
Erik,Lundberg,Male,Sweden,Sweden,SE,SWE
Lars,Johansson,Male,Sweden,Sweden,SE,SWE
Maja,Andersson,Female,Sweden,Sweden,SE,SWE
Johan,Nilsson,Male,Sweden,Sweden,SE,SWE
Anna,Persson,Female,Sweden,Sweden,SE,SWE
Oskar,Hansson,Male,Sweden,Sweden,SE,SWE
Lina,Gustafsson,Female,Sweden,Sweden,SE,SWE
Henrik,Larsson,Male,Sweden,Sweden,SE,SWE
Elin,Wahlberg,Female,Sweden,Sweden,SE,SWE
Alexander,Svensson,Male,Sweden,Sweden,SE,SWE
Lukas,Müller,Male,Germany,Germany,DE,DEU
Max,Schmidt,Male,Germany,Germany,DE,DEU
Sophia,Klein,Female,Germany,Germany,DE,DEU
Felix,Hoffmann,Male,Germany,Germany,DE,DEU
Lena,Weber,Female,Germany,Germany,DE,DEU
Julian,Roth,Male,Germany,Germany,DE,DEU
Anna,Schneider,Female,Germany,Germany,DE,DEU
Moritz,Krause,Male,Germany,Germany,DE,DEU
Emma,Meyer,Female,Germany,Germany,DE,DEU
Benjamin,Fischer,Male,Germany,Germany,DE,DEU
Eero,Koski,Male,Finland,Finland,FI,FIN
Joni,Hakala,Male,Finland,Finland,FI,FIN
Mikko,Mäkinen,Male,Finland,Finland,FI,FIN
Sanna,Kettunen,Female,Finland,Finland,FI,FIN
Antti,Rinne,Male,Finland,Finland,FI,FIN
Lotta,Lindholm,Female,Finland,Finland,FI,FIN
Juhani,Korpela,Male,Finland,Finland,FI,FIN
Aino,Koskinen,Female,Finland,Finland,FI,FIN
Ville,Virtanen,Male,Finland,Finland,FI,FIN
Sofia,Salmi,Female,Finland,Finland,FI,FIN
Erik,Hansen,Male,Norway,Norway,NO,NOR
Solveig,Olsen,Female,Norway,Norway,NO,NOR
Ole,Jensen,Male,Norway,Norway,NO,NOR
Lise,Andersen,Female,Norway,Norway,NO,NOR
